step,time,sim_cpu,sim_mem,real_cpu,real_mem,action,reward,cum_reward,mode,health,deadlocks
101,10:26:23,85.68,7.02,0.0,70.5,⏸ No Change,-1.311,-599.3654,RL (Q-Learning),33,0
102,10:26:24,90.51,8.41,0.0,70.6,⬆ Boost CPU,-6.3683,-605.7337,RL (Q-Learning),18,0
103,10:26:26,89.79,8.75,0.0,70.9,⬇ Reduce CPU,-1.3507,-607.0844,RL (Q-Learning),31,0
104,10:26:27,86.17,8.95,0.0,72.0,⬇ Reduce CPU,-1.287,-608.3714,RL (Q-Learning),34,0
105,10:26:29,88.69,7.82,0.0,72.7,⬇ Reduce Memory,-1.3478,-609.7192,RL (Q-Learning),31,0
106,10:26:30,85.48,9.25,29.4,74.2,⬇ Reduce CPU,-1.2705,-610.9897,RL (Q-Learning),34,0
107,10:26:32,86.74,11.15,0.0,74.8,⬆ Boost Memory,-1.2598,-612.2495,RL (Q-Learning),35,0
108,10:26:33,94.99,12.4,0.0,74.2,⬆ Boost CPU,-6.3765,-618.626,RL (Q-Learning),17,0
109,10:26:35,97.37,11.18,0.0,73.8,⬇ Reduce Memory,-6.4365,-625.0625,RL (Q-Learning),15,0
110,10:26:36,99.35,12.14,0.0,72.2,⬆ Boost Memory,-6.4535,-631.516,RL (Q-Learning),15,0
111,10:26:37,100.0,14.39,30.6,72.3,⏸ No Change,-6.4268,-637.9427999999999,RL (Q-Learning),16,0
112,10:26:39,100.0,14.33,0.0,69.9,⬆ Boost CPU,-6.4278,-644.3706,RL (Q-Learning),16,0
113,10:26:40,100.0,21.68,0.0,70.0,⬆ Boost Memory,-6.3053,-650.6759,RL (Q-Learning),20,0
114,10:26:41,100.0,21.85,0.0,70.0,⬇ Reduce Memory,-6.3025,-656.9784,RL (Q-Learning),20,0
115,10:26:43,100.0,21.71,0.0,70.0,⬆ Boost CPU,-6.3048,-663.2832,RL (Q-Learning),20,0
116,10:26:44,100.0,21.63,0.0,70.8,⏸ No Change,-6.3062,-669.5894,RL (Q-Learning),20,0
117,10:26:46,100.0,22.47,0.0,70.9,⬇ Reduce CPU,-6.2922,-675.8815999999999,RL (Q-Learning),21,0
118,10:26:47,71.25,26.0,0.0,71.2,⏸ No Change,-0.7542,-676.6357999999999,RL (Q-Learning),58,0
119,10:26:49,74.58,26.08,0.0,71.0,⬆ Boost CPU,-0.8083,-677.4440999999999,RL (Q-Learning),55,0
120,10:26:50,74.11,27.06,0.0,71.1,⬆ Boost Memory,-0.7842,-678.2283,RL (Q-Learning),56,0
121,10:26:52,65.9,27.18,0.0,71.0,⬇ Reduce CPU,-0.6453,-678.8736,RL (Q-Learning),63,0
122,10:26:53,62.68,27.59,0.0,71.0,⬇ Reduce CPU,-0.5848,-679.4584,RL (Q-Learning),66,0
123,10:26:55,64.16,28.25,0.0,71.0,⏸ No Change,-0.5985,-680.0568999999999,RL (Q-Learning),65,0
124,10:26:56,71.59,29.08,0.0,71.0,⬆ Boost CPU,-0.7085,-680.7653999999999,RL (Q-Learning),60,0
125,10:26:58,72.01,27.18,0.0,71.9,⬇ Reduce Memory,-0.7472,-681.5125999999999,RL (Q-Learning),58,0
126,10:26:59,68.85,28.61,0.0,72.3,⬆ Boost Memory,-0.6707,-682.1832999999999,RL (Q-Learning),62,0
127,10:27:01,69.87,27.22,0.0,72.3,⬇ Reduce Memory,-0.7108,-682.8940999999999,RL (Q-Learning),60,0
128,10:27:02,64.36,27.03,0.0,72.3,⬇ Reduce CPU,-0.6222,-683.5162999999999,RL (Q-Learning),64,0
129,10:27:04,64.76,27.38,0.0,72.2,⏸ No Change,-0.623,-684.1392999999999,RL (Q-Learning),64,0
130,10:27:05,66.34,27.96,0.0,72.2,⬆ Boost Memory,-0.6397,-684.7789999999999,RL (Q-Learning),63,0
131,10:27:07,70.32,27.77,0.0,72.0,⬆ Boost CPU,-0.7092,-685.4881999999999,RL (Q-Learning),60,0
132,10:27:08,69.54,26.29,0.0,71.5,⬇ Reduce Memory,-0.7208,-686.209,RL (Q-Learning),59,0
133,10:27:10,66.16,26.05,0.0,71.7,⬇ Reduce CPU,-0.6685,-686.8774999999999,RL (Q-Learning),62,0
